id,lat,lon,rate
yDnRf8m_YI4AXHVGH6-fuQ,33.622874,-111.9293766,2.2
ykBWmSL1yDrAob2a20b2DQ,33.6094169,-112.0653491,0.0
JMjjXpNR4EAooX6jtwNEaw,33.444799,-112.066662,2.1666666666666665
qcylQLL-fXdFHrdXC2jZFw,33.423991,-111.939582,2.1008771929824563
r6zT-YqmOtHg8BJT3LLzfg,33.3213204,-111.9683535,2.6666666666666665
23sB_DG-bQO3luNlZ-vi4g,33.4947792,-111.9175074,0.0
pKp50rYh0iWZYKiWmWmLow,33.4802766,-112.0908411,3.0
ke3RFq3mHEAoJE_kkRNhiQ,33.4366655,-111.9403254,2.3929782254782253
SNpVV5viJ2aPylP6bkAx8Q,33.414249,-111.935878,2.258928571428571
3m7khDnqH9QOg8gu3Ymumw,33.5080057,-112.0319425,2.2
oQdSznCeRdH41yWpQ0rlYg,33.3699773,-112.1398355,3.0
7Y1lfzFkwBRoMZKIMMeZMw,33.7119937,-112.2747334,2.5
J-c25QK8xBqv1P-huUkoTQ,33.3203096,-111.8904421,2.176470588235294
7NKBHVMIjnsO2OmcAfsC_w,33.2353630065918,-111.721961975098,2.0
i_H_yKtISROjQ4eruSwyPw,33.4247212,-111.9351556,2.3511904761904763
W0eocyGliMbg8NScqERaiA,33.6071829,-111.9403254,2.2485677604375085
cW3shiA8fDGRpsAUDsL1Xg,33.6306358,-112.3487017,2.6666666666666665
NtizlEdtnJX0tteMdZ-6tw,33.6106566,-112.1505433,0.0
ff7VlCqw4ByzAvR2-q9mVg,33.418869,-111.940359,1.8
XD7hxupuU3kkid0tqsD1nw,33.3488957,-111.9766015,2.5682539682539685
LNUx60j6DQAxJuikUiZNvw,33.5033716,-111.9256326,0.0
Xq9tkiHhyN_aBFswFeGLvA,33.4471735,-112.073781,2.4555488050489216
CQHKoO91ivQJ9hFDCFdSSw,33.4157354,-111.6995595,0.0
XG04Bf0kVh24VnQRsstt3Q,33.3089310552666,-111.741106510162,0.0
BD9zrMRx_gH05OhJ-NcjMw,33.731903,-112.238411,0.0
lLI8ObL8aCVbkrrtAW0EHw,33.5217334,-112.0648454,2.2
8c2ZwD42Q30eUjxG2SgYNg,33.519588,-111.909524,2.2857142857142856
VkdjWDnu5EDqT8PIhb4y3A,33.4001063,-111.8570085,0.0
Q6f_7tOLjCONnrJ8ytNlEA,33.437036,-112.151949,1.4
AgvP554bfq5kwp5TghvYmw,33.516464,-112.0823359,2.4
ZlvVCqFKTMK4rBkTQzVBpA,33.465504,-112.08241,0.0
h45pT80y2uztKxv1vMu5AQ,33.3634762,-111.9112224,0.0
jXufSteaJ8sL77DmajwVdA,33.5410674,-112.1849382,0.0
nfyqtEoufkhjv97IueK7Ow,33.298078,-111.7459158,1.7886904761904763
mFqpvUsEveJ1L5XPbcxaGg,33.3333494,-111.9108427,2.1818181818181817
FFdlPSZCGgTdg1CAfrlvlw,33.305264,-112.0534197,0.0
QQvzErQ8Ijdy3SyEmYVG7Q,33.319395,-111.874965,2.0
yN7-TFmlO-jYvvPxYvKTgg,33.3044612,-111.9945753,2.4555555555555557
h-o-fNBO2ojQQvsOG7UbDQ,33.578957,-111.924071,1.8
MDzYAjCXVbv1Dna7DSfWbw,33.359898,-111.790191,2.2578947368421054
wWvInCI38F80lqLvnW26hg,33.2454981778683,-111.842032670975,0.0
PEezgevlEHjujMN1qTQH1g,33.320322,-111.9662565,0.0
GcBgWPwxAlo2l4M7BrBMyA,33.415059,-111.766533,0.0
LjqY98zL96sem_PxC6ZG3g,33.5024095,-111.9955012,1.875
P8pJ2tUS-KnO8H4sbaAxTw,33.7692668,-111.9258171,0.0
hSCZu4Kr_GNU6Lw87yXjlg,33.5763314,-111.8797774,0.0
m_rEr3Vg1-f9Dg-Nag4FWg,33.4216092,-111.9429427,2.094047619047619
zG_wv69bsllw_PWhOmoAKQ,33.5097999,-112.0122745,2.9442308741678493
-u-B9Rm3DHpLThpakVXH3w,33.449188,-112.0772,3.071428571428571
-J0jhpG0rv4saq9OMh8gXw,33.3667149,-111.7561115,1.722222222222222
Q5AOEpbPSeixtEAR6l1vEA,33.4235796,-111.9392896,1.0
Ane4XcpP7aWzhjd8SGiciQ,33.6556844,-111.9300279,2.5306060606060603
BcnAlLboVv5546JAGaUjuA,33.6995202,-111.9233143,0.0
NbjyUsShOLe1rA-nnin-bA,33.313553,-111.864595,3.0
hrnvVr3hmb2oD3oUnJrNSw,33.43188,-111.948667,2.5500000000000003
5nrEG6lFlKfr-OluekbsTw,33.8645537841385,-112.137740850449,2.7206349206349207
Qa-9mh8ufc31XJqDTrpbVA,33.617394,-111.912171,0.0
-dAVih5pWe7DEohm3tF69A,33.6117897,-111.9783582,3.0
PO2JBrCFcxd5ne-7ewDwdw,33.5533766,-111.8916321,2.2520864756158874
4slO7yWhHVE3V1URzg-Nyw,33.522372,-112.09641,0.0
lLU7Q9fWurssDHHFUAxmxg,33.3203054,-111.8904419,2.416666666666667
97AFYADGuOJX-mx8YPFZpg,33.4149566,-111.8400473,2.1818181818181817
cLojUtqkFpVIHFEvA_5Atw,33.4556584,-112.0719926,2.4632720240106165
oeR69T9Ow5bvTq9xbiutWg,33.6528755,-111.8868936,2.833333333333333
yypKLRJxSjR2uNaTS_O6pw,33.5266038,-111.924627,2.239599686028257
jWIdwys1qisHa93seORskQ,33.6071869,-112.3933836,2.0
U_CvxSM9epIi8u5A0jOUVw,33.626788,-111.994838,2.625
ML8bLRIcWCbBqRfCQSLAKw,33.6387316,-112.1895835,0.0
